Winning,Losing
California,Hawaii
Tennessee,Appalachian State
Louisville,Charlotte
Wake Forest,Tulane
Indiana,FIU
South Carolina,Vanderbilt
W. Kentucky,Rice
Minnesota,Oregon State
Ball State,Georgia State
Stanford,Kansas State
Army,Temple
Colorado  ,Colorado State
Toledo,Arkansas State
Georgia Tech,Boston College
Alabama,Southern Cal
Clemson,Auburn
Houston,Oklahoma
Wisconsin,LSU
Ohio State,Bowling Green
Michigan,Hawaii
Washington,Rutgers
Texas A&M,UCLA
Iowa,"Miami, OH"
Georgia ,North Carolina
Florida,Massachusetts
W. Michigan,Northwestern
Boise State,La.-Lafayette
S. Alabama,Mississippi State
West Virginia,Missouri
Penn State,Kent State
Texas State,Ohio
Arkansas,La. Tech
SMU,North Texas
Southern Miss,Kentucky
Nebraska,Fresno State
UTEP,New Mexico State
Tulsa,San Jose State
BYU,Arizona
Wyoming,N. Illinois
Texas,Notre Dame
Florida State,Mississippi  
Louisville,Syracuse
Maryland,FIU
Alabama,W. Kentucky
Clemson,Troy
Ohio State,Tulsa
Michigan  ,UCF
Washington,Idaho
Wisconsin,Akron
Texas,UTEP
Oklahoma,La.-Monroe
Arkansas,TCU
Iowa,Iowa State
Tennessee,Virginia Tech
Notre Dame,Nevada
C. Michigan,Oklahoma State
Baylor,SMU
Oregon,Virginia
"Miami, FL",FAU
East Carolina,N.C. State
Pittsburgh,Penn State
Cincinnati,Purdue
Army,Rice
Boston College,Massachusetts
Nebraska,Wyoming
Air Force,Georgia State
Southern Cal,Utah State
Ohio,Kansas
Navy,Connecticut
Wake Forest,Duke
Appalachian State,Old Dominion
Florida,Kentucky
Indiana,Ball State
Colorado State,UTSA
Vanderbilt,MTSU
Georgia Southern,S. Alabama
South Florida,N. Illinois
Mississippi State,South Carolina
Auburn,Arkansas State
Utah,BYU
Missouri,E. Michigan
North Carolina,Illinois
UCLA,UNLV
New Mexico State,New Mexico
Arizona State,Texas Tech
Boise State,Washington State
San Diego State,California
Houston,Cincinnati
Baylor,Rice
Utah State,Arkansas State
Arizona State,UTSA
Alabama,Mississippi
Louisville,Florida State
Ohio State,Oklahoma  
Michigan,Colorado
Stanford,Southern Cal
Wisconsin,Georgia State
California,Texas
Michigan State,Notre Dame
Tennessee,Ohio
Georgia,Missouri
Texas A&M,Auburn
LSU,Mississippi State
Nebraska,Oregon
Florida,North Texas
Arkansas,Texas State
"Miami, FL",Appalachian State
TCU,Iowa State
Akron,Marshall
Rutgers,New Mexico
MTSU,Bowling Green
Penn State,Temple
Memphis,Kansas
Georgia Tech,Vanderbilt
Connecticut,Virginia
Washington State,Idaho
Kansas State,FAU
C. Michigan,UNLV
Toledo,Fresno State
San Diego State,N. Illinois
Massachusetts,FIU
W. Kentucky,"Miami, OH"
Oklahoma State,Pittsburgh
South Florida,Syracuse
Virginia Tech,Boston College
W. Michigan,Illinois
Kentucky,New Mexico State
South Carolina,East Carolina
E. Michigan,Charlotte
N.C. State,Old Dominion
Georgia Southern,La.-Monroe
Maryland,UCF
Navy,Tulane
La.-Lafayette,S. Alabama
Texas Tech,La. Tech
Troy,Southern Miss
Army,UTEP
Northwestern,Duke
Nevada,Buffalo
UCLA,BYU
Utah,San Jose State
Arizona,Hawaii
Clemson,Georgia Tech
Utah,Southern Cal
E. Michigan,Wyoming
TCU,SMU
Alabama,Kent State
Louisville,Marshall
Michigan,Penn State
Houston,Texas State
Stanford,UCLA
Wisconsin,Michigan State
Washington,Arizona
Texas A&M,Arkansas  
Mississippi  ,Georgia
Florida State,South Florida
Tennessee,Florida
Baylor,Oklahoma State
Auburn,LSU
Nebraska,Northwestern
Purdue,Nevada
Iowa State,San Jose State
Temple,Charlotte
Iowa,Rutgers
Minnesota,Colorado State
Virginia Tech,East Carolina
Virginia  ,C. Michigan
Syracuse,Connecticut
Cincinnati,"Miami, OH"
Appalachian State,Akron
Boise State,Oregon State
West Virginia,BYU
Duke,Notre Dame
Mississippi State,Massachusetts
North Carolina,Pittsburgh
Old Dominion,UTSA
Wake Forest,Indiana
Vanderbilt,W. Kentucky
Tulsa,Fresno State
Colorado,Oregon
Ball State,FAU
North Texas,Rice
Troy,New Mexico State
W. Michigan,Georgia Southern
UCF,FIU
MTSU,La. Tech
Buffalo,Army
Kentucky,South Carolina
Memphis,Bowling Green
Tulane,La.-Lafayette
Southern Miss,UTEP
Idaho,UNLV
Arizona State,California
Air Force,Utah State
Houston,Connecticut
Texas Tech,Kansas
Washington,Stanford
BYU,Toledo
Alabama,Kentucky
Ohio State,Rutgers
Clemson,Louisville
Michigan,Wisconsin
Texas A&M,South Carolina
Tennessee,Georgia 
North Carolina,Florida State
Baylor,Iowa State
"Miami, FL",Georgia Tech
Nebraska,Illinois
Mississippi,Memphis
Indiana,Michigan State
California,Utah  
S. Alabama,San Diego State
Oklahoma,TCU
Oklahoma State,Texas
Florida,Vanderbilt
Boise State,Utah State
Notre Dame,Syracuse
Northwestern,Iowa
UCF,East Carolina
Temple,SMU
Appalachian State,Georgia State
Virginia,Duke
Boston College,Buffalo
Colorado,Oregon State
Ohio,"Miami, OH"
E. Michigan,Bowling Green
Air Force,Navy
Auburn,La.-Monroe
Tulane,Massachusetts
N. Illinois,Ball State
N.C. State,Wake Forest
Akron,Kent State
Maryland,Purdue
West Virginia,Kansas State
Penn State,Minnesota
New Mexico,San Jose State
Troy,Idaho
Old Dominion,Charlotte
FIU,FAU
La. Tech,UTEP
MTSU,North Texas
Southern Miss,Rice
South Florida,Cincinnati
W. Michigan,C. Michigan
Pittsburgh,Marshall
LSU,Missouri
New Mexico State,La.-Lafayette
Southern Cal,Arizona State
Washington State,Oregon
Wyoming,Colorado State
UNLV,Fresno State
UCLA,Arizona
Hawaii,Nevada
Arkansas State,Georgia Southern
Memphis,Temple
La. Tech,W. Kentucky
Clemson,Boston College
Boise State,New Mexico
Tulsa,SMU
Old Dominion,Massachusetts
Alabama,Arkansas
Ohio State,Indiana
Michigan,Rutgers
Washington,Oregon
Navy,Houston
Texas A&M,Tennessee
Florida State,"Miami, FL"
Washington State,Stanford
Virginia Tech,North Carolina
Oklahoma,Texas
Southern Cal,Colorado
Utah,Arizona
Connecticut,Cincinnati
South Florida,East Carolina
TCU,Kansas
Iowa,Minnesota
Penn State,Maryland
UTSA,Southern Miss
Auburn,Mississippi State
N.C. State,Notre Dame
Pittsburgh,Georgia Tech
Ohio,Bowling Green
Akron,"Miami, OH"
Toledo,E. Michigan
Oklahoma State,Iowa State
Purdue,Illinois
Georgia State,Texas State
Kent State,Buffalo
C. Michigan,Ball State
Wyoming,Air Force
Duke,Army
BYU,Michigan State
Kentucky,Vanderbilt
Hawaii,San Jose State
W. Michigan,N. Illinois
North Texas,Marshall
Nevada,Fresno State
Idaho,La.-Monroe
Kansas State,Texas Tech
Wake Forest,Syracuse
FIU,UTEP
Oregon State,California
Colorado State,Utah State
San Diego State,UNLV
Arizona State,UCLA
Charlotte,FAU
Georgia,South Carolina
Appalachian State,La.-Lafayette
Louisville,Duke
Memphis,Tulane
San Diego State,Fresno State
BYU,Mississippi State
Alabama,Tennessee
Ohio State,Wisconsin
Clemson,N.C. State
Nebraska,Indiana
Baylor,Kansas
Arkansas,Mississippi
Houston,Tulsa
Florida State,Wake Forest
Boise State,Colorado State
North Carolina,"Miami, FL"
Syracuse,Virginia Tech
Florida ,Missouri
Oklahoma,Kansas State
West Virginia,Texas Tech
Utah,Oregon State
W. Michigan,Akron
Vanderbilt,Georgia
Minnesota,Maryland
Iowa,Purdue
Illinois,Rutgers
Georgia Tech,Georgia Southern
Pittsburgh,Virginia
E. Michigan,Ohio
"Miami, OH",Kent State
W. Kentucky,MTSU
Ball State,Buffalo
Toledo,Bowling Green
C. Michigan,N. Illinois
La. Tech,Massachusetts
Southern Cal,Arizona
New Mexico,Air Force
Northwestern,Michigan State
Troy,Georgia State
Idaho,New Mexico State
FIU,Charlotte
Marshall,FAU
UTSA,Rice
La.-Monroe,Texas State
Arkansas State,S. Alabama
South Florida,Connecticut
Texas,Iowa State
LSU,Southern Miss
Stanford,Notre Dame
Temple,UCF
Colorado,Arizona State
Washington State,UCLA
San Jose State,Nevada
UNLV,Hawaii
Troy,S. Alabama
Virginia Tech,"Miami, FL"
Boise State,BYU
Temple,South Florida
San Diego State,San Jose State
California,Oregon
Alabama,Texas A&M
Penn State,Ohio State
Michigan,Illinois
Washington,Oregon State
Louisville,N.C. State
Nebraska,Purdue
Wisconsin,Iowa
SMU,Houston
West Virginia,TCU
Oklahoma,Texas Tech
Auburn,Arkansas
Utah,UCLA
W. Michigan,E. Michigan
North Carolina,Virginia
LSU,Mississippi
Navy,Memphis
North Texas,Army
South Carolina,Massachusetts
UCF,Connecticut
Toledo,C. Michigan
"Miami, OH",Bowling Green
Northwestern,Indiana
Oklahoma State,Kansas
Kansas State,Texas
Minnesota,Rutgers
Syracuse,Boston College
Ohio,Kent State
Hawaii,Air Force
Akron,Ball State
Colorado,Stanford
Appalachian State,Idaho
N. Illinois,Buffalo
Tulsa,Tulane
MTSU,Missouri
Colorado State,UNLV
Charlotte,Marshall
La. Tech,FIU
W. Kentucky,Old Dominion
UTEP,UTSA
Cincinnati,East Carolina
La.-Lafayette,Texas State
Maryland,Michigan State
Kentucky,Mississippi State
Georgia Southern,New Mexico State
New Mexico,La.-Monroe
Washington State,Arizona State
Utah State,Fresno State
Wyoming,Nevada
Virginia Tech,Pittsburgh
Buffalo,Akron
Ohio,Toledo
Appalachian State,Georgia Southern
Southern Cal,California
South Florida,Navy
San Diego State,Utah State
Air Force,Fresno State
Michigan,Michigan State
Louisville,Virginia
Oklahoma State,West Virginia
Clemson,Florida State
Washington,Utah
Ohio State,Northwestern
Wisconsin,Nebraska
Texas,Baylor
Texas A&M,New Mexico State
Wyoming,Boise State
Florida ,Georgia 
Auburn,Mississippi
Oklahoma,Kansas
South Carolina,Tennessee
Penn State,Purdue
Kentucky,Missouri
Houston,UCF
East Carolina,Connecticut
Georgia Tech,Duke
Kent State,C. Michigan
Kansas State,Iowa State
Minnesota,Illinois
Boston College,N.C. State
Temple,Cincinnati
W. Kentucky,FAU
Army,Wake Forest
Notre Dame,"Miami, FL"
Indiana,Maryland
Texas Tech,TCU
"Miami, OH",E. Michigan
SMU,Tulane
S. Alabama,Georgia State
Oregon  ,Arizona State
La. Tech,Rice
Southern Miss,Marshall
UTSA,North Texas
MTSU,FIU
Arkansas State,La.-Monroe
Old Dominion,UTEP
Tulsa,Memphis
San Jose State,UNLV
Washington State,Oregon State
Stanford,Arizona
New Mexico,Hawaii
W. Michigan,Ball State
N. Illinois,Bowling Green
Oklahoma,Iowa State
Colorado,UCLA
Toledo,Akron
Ohio,Buffalo
Arkansas State,Georgia State
Boise State,San Jose State
"Miami, OH",C. Michigan
Temple,Connecticut
Alabama,LSU
Clemson,Syracuse
Michigan,Maryland
Mississippi State,Texas A&M
Washington,California
Ohio State,Nebraska
Louisville,Boston College
Wisconsin,Northwestern
Auburn,Vanderbilt
Arkansas,Florida
Penn State,Iowa
TCU,Baylor
Oklahoma State,Kansas State
Virginia Tech,Duke
West Virginia,Kansas
North Carolina,Georgia Tech
Florida State,N.C. State
Washington State,Arizona
Navy,Notre Dame
Air Force,Army
Mississippi,Georgia Southern
Texas,Texas Tech
Indiana,Rutgers
Illinois,Michigan State
"Miami, FL",Pittsburgh
UTSA,MTSU
Wake Forest,Virginia
Minnesota,Purdue
Appalachian State,Texas State
FAU,Rice
Charlotte,Southern Miss
Stanford,Oregon State
Colorado State,Fresno State
BYU,Cincinnati
Troy,Massachusetts
South Carolina,Missouri
Memphis,SMU
Idaho,La.-Lafayette
La.-Monroe,S. Alabama
UCF,Tulane
W. Kentucky,FIU
La. Tech,North Texas
Old Dominion,Marshall
San Diego State,Hawaii
Southern Cal,Oregon
Georgia,Kentucky
Tulsa,East Carolina
New Mexico,Nevada
Wyoming,Utah State
W. Michigan,Kent State
Utah,Arizona State
Duke,North Carolina
Florida State,Boston College
Alabama,Mississippi State
Pittsburgh,Clemson
Iowa,Michigan
Southern Cal,Washington
E. Michigan,Ball State
Bowling Green,Akron
La.-Lafayette,Georgia Southern
Ohio State,Maryland
Louisville,Wake Forest
Wisconsin,Illinois
Mississippi,Texas A&M
Georgia,Auburn
Penn State,Indiana
Oklahoma,Baylor
Colorado,Arizona
Oklahoma State,Texas Tech
Georgia Tech,Virginia Tech
West Virginia,Texas
Nebraska,Minnesota
Boise State,Hawaii
Washington State,California
LSU,Arkansas
Florida,South Carolina
Tennessee,Kentucky
UCF,Cincinnati
SMU,East Carolina
Navy,Tulsa
Iowa State,Kansas
Michigan State,Rutgers
Northwestern,Purdue
N.C. State,Syracuse
"Miami, OH",Buffalo
Rice,Charlotte
"Miami, FL",Virginia
La.-Lafayette,Georgia State
Arkansas State,New Mexico State
Missouri,Vanderbilt
Notre Dame,Army
UNLV,Wyoming
La. Tech,UTSA
W. Kentucky,North Texas
Old Dominion,Southern Miss
Troy,Appalachian State
Houston,Tulane
Idaho,Texas State
Stanford,Oregon
FAU,UTEP
Marshall,MTSU
South Florida,Memphis
UCLA,Oregon State
Air Force,Colorado State
New Mexico,Utah State
San Diego State,Nevada
Bowling Green,Kent State
C. Michigan,Ohio
Toledo,Ball State
N. Illinois,E. Michigan
Houston,Louisville
Arkansas State,Troy
Boise State,UNLV
Memphis,Cincinnati
Ohio State,Michigan State
Michigan,Indiana
Clemson,Wake Forest
Washington,Arizona State
Wisconsin,Purdue
Penn State,Rutgers
Oklahoma,West Virginia
Colorado,Washington State
Oklahoma State,TCU
Oregon,Utah
Southern Cal,UCLA
Florida,LSU
Florida State,Syracuse
Nebraska,Maryland
Tennessee,Missouri
W. Michigan,Buffalo
Stanford,California
Texas A&M,UTSA
Kansas State,Baylor
Georgia,La.-Lafayette
Rice,UTEP
Iowa,Illinois
Georgia Tech,Virginia
"Miami, FL",N.C. State
Boston College,Connecticut
MTSU,Charlotte
BYU,Massachusetts
Georgia State,Georgia Southern
Appalachian State,La.-Monroe
Pittsburgh,Duke
Wyoming,San Diego State
Virginia Tech,Notre Dame
Temple,Tulane
Iowa State,Texas Tech
Kansas  ,Texas
Minnesota,Northwestern
Navy,East Carolina
Nevada,Utah State
New Mexico State,Texas State
North Texas,Southern Miss
Old Dominion,FAU
FIU,Marshall
Hawaii,Fresno State
Arkansas,Mississippi State
South Florida,SMU
Vanderbilt,Mississippi
Tulsa,UCF
Colorado State,New Mexico
Oregon State,Arizona
Air Force,San Jose State
Ohio  ,Akron
"Miami, OH",Ball State
E. Michigan,C. Michigan
LSU,Texas A&M
Washington,Washington State
Iowa,Nebraska
Air Force,Boise State
Memphis,Houston
W. Michigan,Toledo
N. Illinois,Kent State
N.C. State,North Carolina
Bowling Green,Buffalo
Missouri,Arkansas
TCU,Texas
Southern Miss,La. Tech
Texas Tech,Baylor
Tulsa,Cincinnati
Arizona  ,Arizona State
Ohio State,Michigan
Kentucky,Louisville
Georgia Tech,Georgia  
Kansas State,Kansas
Maryland,Rutgers
Indiana,Purdue
Northwestern,Illinois
South Florida,UCF
Virginia Tech,Virginia
La.-Lafayette,Arkansas State
Pittsburgh,Syracuse
Alabama,Auburn
Clemson,South Carolina
Wisconsin,Minnesota
Penn State,Michigan State
Colorado,Utah
Southern Cal,Notre Dame
Florida State,Florida
Vanderbilt,Tennessee
West Virginia,Iowa State
Stanford,Rice
Navy,SMU
Boston College,Wake Forest
"Miami, FL",Duke
Old Dominion,FIU
San Jose State,Fresno State
Mississippi State,Mississippi
Idaho,S. Alabama
Troy,Texas State
Appalachian State,New Mexico State
Tulane,Connecticut
Oregon State,Oregon
Nevada,UNLV
UTEP,North Texas
MTSU,FAU
W. Kentucky,Marshall
UTSA,Charlotte
California,UCLA
Temple,East Carolina
Colorado State,San Diego State
New Mexico,Wyoming
BYU,Utah State
Hawaii,Massachusetts
Washington,Colorado
W. Michigan,Ohio
Alabama,Florida
Clemson,Virginia Tech
Penn State,Wisconsin
Oklahoma,Oklahoma State
West Virginia,Baylor
Temple,Navy
Kansas State,TCU
Georgia Southern,Troy
W. Kentucky,La. Tech
S. Alabama,New Mexico State
La.-Lafayette,La.-Monroe
Idaho,Georgia State
Arkansas State,Texas State
San Diego State,Wyoming
Army,Navy